info : 2022-06-08 : 14:22:46 : Reading of the file is successfull values are, Number of columns=112, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-08 : 14:26:36 : Reading of the file is successfull values are, Number of columns=112, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-08 : 14:28:42 : Reading of the file is successfull values are, Number of columns=112, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-22 : 14:01:47 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-22 : 14:03:28 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-22 : 14:30:10 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-22 : 14:30:45 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-22 : 14:33:34 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-23 : 12:37:24 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-23 : 12:44:32 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-23 : 12:46:23 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-23 : 12:48:10 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-23 : 12:52:11 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
info : 2022-06-23 : 12:55:01 : Reading of the file is successfull values are, Number of columns=111, Length of datestamp=8, Length of timestamp=6, Pattern=phising_08012020_120000.csv 
